Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
11/12/1997,0,23.4,37.7,52
11/13/1997,0,23.2,34.1,44.9
11/14/1997,0.21,25.3,33.9,42.5
11/15/1997,1.32,26.1,31.2,36.3
11/16/1997,0,25.5,31.6,37.8
11/17/1997,0,20.8,30.4,39.9
11/18/1997,0,20.8,32.2,43.7
11/19/1997,0,17,31.7,46.5
11/20/1997,0,17.5,32.9,48.3
11/21/1997,0,21.6,34.6,47.6
11/22/1997,0.58,25.9,40.6,55.3
11/23/1997,0.2,29.2,36,42.7
11/24/1997,0.03,28.1,30.9,33.6
11/25/1997,0,18.2,29.6,41
11/26/1997,0,20.7,30,39.3
11/27/1997,0.03,35,45.1,55.2
11/28/1997,0,25.9,34,42.2
11/29/1997,0,26.6,33.7,40.7
11/30/1997,0,21.8,34.4,47.1
12/1/1997,0.72,27,36.2,45.4
12/2/1997,0.02,26.9,32.9,38.8
12/3/1997,0,28.2,35.2,42.2
12/4/1997,0.06,28.4,39.4,50.4
12/5/1997,0,37.4,43.4,49.4
12/6/1997,0.02,28.5,34.4,40.3
12/7/1997,0,25.5,33.5,41.6
12/8/1997,0,25.3,33.7,42.2
12/9/1997,0,18.8,32.9,47.1
12/10/1997,0,19,31.1,43.2
12/11/1997,0,24.1,32.4,40.7
12/12/1997,0,18.7,27.4,36.2
12/13/1997,0,24.4,32,39.6
12/14/1997,0,24.4,33,41.5
12/15/1997,0,10.8,26.3,41.8
12/16/1997,0,11.9,26,40
12/17/1997,0,16.7,33.7,50.8
12/18/1997,0,21.6,38.4,55.2
12/19/1997,0,23.1,35.4,47.8
12/20/1997,0,25.8,36.8,47.8
12/21/1997,0,21,32.7,44.5
12/22/1997,0,9.1,22.1,35.2
12/23/1997,0.18,10.8,23.5,36.2
12/24/1997,1.18,29.6,32.2,34.8
12/25/1997,0.07,22.5,30.8,39.1
12/26/1997,0.43,31.1,36,40.8
12/27/1997,0,25.7,36.8,47.9
12/28/1997,0.09,26.6,32.3,38
12/29/1997,0,8,22.9,37.8
12/30/1997,0.74,10.5,27.5,44.6
12/31/1997,0,19.3,31.1,42.9
1/1/1998,0,4,17.8,31.6
1/2/1998,0,5,19.3,33.7
1/3/1998,0,28.6,36.7,44.8
1/4/1998,0,42.9,51.6,60.2
1/5/1998,0.07,34.1,45.5,56.9
1/6/1998,0.05,34.3,41.8,49.4
1/7/1998,0.07,37,46.9,56.7
1/8/1998,0.88,32.4,36.6,40.8
1/9/1998,0.62,33.3,36.9,40.4
1/10/1998,0.39,28.3,34.2,40
1/11/1998,0,24.7,35.8,46.9
1/12/1998,0,20.1,33.9,47.7
1/13/1998,0,19.8,29.4,39.1
1/14/1998,0.03,21,33.8,46.7
1/15/1998,0,14.1,23.2,32.3
1/16/1998,1.07,15.7,25.3,34.9
1/17/1998,0.02,20.4,27,33.5
1/18/1998,0,19.5,26.6,33.8
1/19/1998,0.13,22.4,27.4,32.5
1/20/1998,0,25.1,32.1,39
1/21/1998,0,26.4,30.2,34
1/22/1998,0,17.4,27.3,37.2
1/23/1998,0,16,25.7,35.4
1/24/1998,2.42,20.4,31.4,42.3
1/25/1998,0.08,30.9,34.2,37.5
1/26/1998,0.13,25.1,31.7,38.3
1/27/1998,0,10.4,23.6,36.8
1/28/1998,0,11.3,24.5,37.8
1/29/1998,0,28,32.6,37.2
1/30/1998,0,25.6,36.3,47
1/31/1998,0.04,29.3,33.6,37.8
2/1/1998,0,20.6,29.7,38.7
2/2/1998,0,18.7,31.7,44.7
2/3/1998,0,21,35.6,50.2
2/4/1998,0,31,41.4,51.9
2/5/1998,0.14,30,34.9,39.8
2/6/1998,0,21.3,27.7,34
2/7/1998,0,17.7,30.3,42.9
2/8/1998,0,21.2,30.8,40.5
2/9/1998,0,17.7,27.3,37
2/10/1998,0,17.9,33,48.2
2/11/1998,0,25,37,49
2/12/1998,0.78,30.6,42,53.4
2/13/1998,0.08,34.3,43.5,52.8
2/14/1998,0,16,30.8,45.5
2/15/1998,0,7,21.5,36
2/16/1998,0,7.4,20.3,33.1
2/17/1998,0,11.8,25.9,39.9
2/18/1998,1.39,27.2,34.2,41.3
2/19/1998,0.27,35,38.1,41.2
2/20/1998,0.02,32.3,36.7,41
2/21/1998,0,35,42.9,50.8
2/22/1998,0,26.8,37.6,48.4
2/23/1998,0,24.9,40.3,55.7
2/24/1998,0.6,27.3,35.4,43.6
2/25/1998,1.46,35,38,41
2/26/1998,0.05,34.2,39.5,44.8
2/27/1998,0,34,42.8,51.6
2/28/1998,0,28.6,43.8,59.1
3/1/1998,0.42,31.1,44.9,58.8
3/2/1998,0.02,33.2,38.9,44.6
3/3/1998,0,33.4,44.4,55.4
3/4/1998,0,28.1,35.9,43.7
3/5/1998,0.01,29.7,41.1,52.5
3/6/1998,0,26.9,35.7,44.5
3/7/1998,0,28.2,37.4,46.5
3/8/1998,0,29.4,37.8,46.3
3/9/1998,1.2,30.8,38.3,45.8
3/10/1998,1.83,38.2,48.6,59
3/11/1998,0,21.7,37.8,53.9
3/12/1998,0,12.4,23.5,34.5
3/13/1998,0,6.9,18.7,30.4
3/14/1998,0,11.4,25.2,39
3/15/1998,0.06,27.9,33,38
3/16/1998,0,24.1,32.3,40.5
3/17/1998,0,17.3,29.4,41.6
3/18/1998,0,21,34.5,48
3/19/1998,0.51,30.1,35.3,40.5
3/20/1998,0.84,31.7,36.8,41.9
3/21/1998,0,29.2,33.9,38.7
3/22/1998,0.63,28.8,31.3,33.8
3/23/1998,0.1,25.7,29.4,33
3/24/1998,0,21.3,32.9,44.4
3/25/1998,0,21.3,35.3,49.3
3/26/1998,0,27.2,39.1,51
3/27/1998,0,38,49.9,61.7
3/28/1998,0,50.5,65.5,80.6
3/29/1998,0,52.7,69.5,86.3
3/30/1998,0,39.7,59.1,78.4
3/31/1998,0,45.9,63.9,82
4/1/1998,0,42.9,66.6,90.3
4/2/1998,0.87,39.1,42.5,45.9
4/3/1998,0.05,36.4,42.1,47.9
4/4/1998,0,37.3,47.3,57.4
4/5/1998,0,35.4,40.5,45.5
4/6/1998,0,31.6,39.1,46.5
4/7/1998,0,31.2,43,54.7
4/8/1998,0,32,49.3,66.6
4/9/1998,0.1,35.7,51.7,67.7
4/10/1998,0.71,28.1,42.4,56.7
4/11/1998,0,27.6,42.1,56.6
4/12/1998,0,27,44.6,62.1
4/13/1998,0,28.1,45.3,62.4
4/14/1998,0,29.3,47.9,66.5
4/15/1998,0,33.6,50.5,67.4
4/16/1998,0,42.6,54.1,65.7
4/17/1998,0,48,56.9,65.9
4/18/1998,0.53,40.5,51.5,62.5
4/19/1998,0,42.4,54.5,66.6
4/20/1998,0.84,44.9,53.6,62.4
4/21/1998,0.01,34.3,44.7,55.2
4/22/1998,0,34.7,51.7,68.6
4/23/1998,0,38,55.2,72.5
4/24/1998,0.94,42.1,48.8,55.6
4/25/1998,0,40.5,52.5,64.5
4/26/1998,0,31.6,45.8,60
4/27/1998,0.16,34.8,44.2,53.7
4/28/1998,0,32.1,44.3,56.6
4/29/1998,0,36.2,49.4,62.6
4/30/1998,0,49.1,62.2,75.2
5/1/1998,0,53,67.1,81.2
5/2/1998,0.49,51.7,62.8,73.9
5/3/1998,0.04,51.4,60.5,69.7
5/4/1998,0.41,48.1,58.3,68.5
5/5/1998,0.36,51.3,62.7,74
5/6/1998,0.4,54.7,64.2,73.7
5/7/1998,1.39,53.8,59.8,65.8
5/8/1998,0.32,54,58.5,63
5/9/1998,0.07,51,58.7,66.4
5/10/1998,1.28,48.3,52.5,56.6
5/11/1998,1.23,47.6,50.2,52.7
5/12/1998,0.28,45.9,47.7,49.5
5/13/1998,0,36.1,45.8,55.5
5/14/1998,0,35.9,47.2,58.5
5/15/1998,0,38.2,54.5,70.8
5/16/1998,0,46.3,66.2,86.2
5/17/1998,0.01,46.6,62.5,78.4
5/18/1998,0,48.5,60.3,72.1
5/19/1998,0,51.5,68.1,84.7
5/20/1998,0,47.5,63.1,78.7
5/21/1998,0,53.4,66.7,79.9
5/22/1998,0,45.6,63,80.3
5/23/1998,0,45.5,58.2,71
5/24/1998,0,46,61,76
5/25/1998,0,47,64,81.1
5/26/1998,0.01,50.8,64.2,77.6
5/27/1998,0,46.1,63.6,81.1
5/28/1998,0,49.5,64.5,79.5
5/29/1998,0,56.2,71.5,86.8
5/30/1998,0.31,61.9,74.8,87.8
5/31/1998,0,54.7,70.3,85.9
6/1/1998,0.74,56.4,67.6,78.8
6/2/1998,0,43.6,59.6,75.6
6/3/1998,0.58,45.2,59.8,74.5
6/4/1998,0,42.5,54.2,65.9
6/5/1998,0,46.3,56.1,65.8
6/6/1998,0,43.8,57.7,71.6
6/7/1998,0,52,60.1,68.1
6/8/1998,0.42,49.9,57.2,64.6
6/9/1998,0.26,51.3,56.2,61.2
6/10/1998,0,52,62.8,73.6
6/11/1998,0,51.9,66.3,80.7
6/12/1998,0,50.6,63.2,75.7
6/13/1998,0.92,57.4,61.6,65.7
6/14/1998,4.73,62.6,64.7,66.7
6/15/1998,0.84,60.9,66,71.1
6/16/1998,0.56,61.7,69.9,78
6/17/1998,0.04,61.7,67.5,73.2
6/18/1998,0.85,61.7,69.6,77.6
6/19/1998,0.44,59.7,70.2,80.7
6/20/1998,0.7,62.4,72.3,82.2
6/21/1998,0,62.1,71.3,80.4
6/22/1998,0,60,69.9,79.9
6/23/1998,0,60.1,68.5,76.8
6/24/1998,0,62.2,67.6,73
6/25/1998,0,68.3,76.1,83.8
6/26/1998,0.13,69.5,79,88.6
6/27/1998,0.01,67.9,78,88.1
6/28/1998,0.09,52.2,66.1,79.9
6/29/1998,0,57,67.4,77.7
6/30/1998,0.17,62.1,68.3,74.6
7/1/1998,2.66,62.8,67.9,73
7/2/1998,0.3,56.2,66.5,76.8
7/3/1998,0,57.9,70,82.2
7/4/1998,0,61,73.6,86.1
7/5/1998,0.03,63.2,73.8,84.4
7/6/1998,0,55.4,67.7,80
7/7/1998,0,57.9,69.5,81.1
7/8/1998,0,60.6,70.4,80.2
7/9/1998,0.03,59.5,67.9,76.2
7/10/1998,0,59.7,70,80.2
7/11/1998,0,52.6,67.3,81.9
7/12/1998,0,53.4,65.5,77.6
7/13/1998,0,55.5,68.6,81.7
7/14/1998,0,60.8,73.8,86.7
7/15/1998,0,66.5,77.4,88.4
7/16/1998,0,69.8,80.2,90.5
7/17/1998,0,69.7,79.2,88.6
7/18/1998,0.03,66.1,77.2,88.3
7/19/1998,0,54.7,70.9,87.1
7/20/1998,0,60.2,73.4,86.6
7/21/1998,0.18,64.3,74.4,84.4
7/22/1998,0,67.3,78.6,89.9
7/23/1998,0,66.6,78.7,90.9
7/24/1998,0.7,65.1,77.7,90.3
7/25/1998,0,57.5,69.9,82.4
7/26/1998,0,58.3,69.9,81.5
7/27/1998,0,55.2,68.3,81.4
7/28/1998,0,60.7,72.6,84.5
7/29/1998,0,69.7,77.3,84.8
7/30/1998,0.32,58.3,72.8,87.3
7/31/1998,0.26,61,72,83
8/1/1998,0.19,53.4,64.1,74.9
8/2/1998,0,52.9,67.1,81.4
8/3/1998,0,55.2,69.7,84.3
8/4/1998,0,59.3,73.3,87.3
8/5/1998,0,59.4,72.4,85.4
8/6/1998,0,63,74.7,86.4
8/7/1998,0,65.2,76.1,87
8/8/1998,0,64.8,74.4,84
8/9/1998,0,60.3,74.5,88.8
8/10/1998,0,63.5,75.4,87.2
8/11/1998,0,70.1,78.4,86.8
8/12/1998,0,62.4,73.9,85.3
8/13/1998,0.02,53.7,64,74.4
8/14/1998,0,55.3,66.3,77.3
8/15/1998,0.02,58.7,70.5,82.3
8/16/1998,0.18,64.2,74.3,84.3
8/17/1998,0,65.1,76.7,88.4
8/18/1998,1.52,67.9,70.5,73.2
8/19/1998,0.53,55.8,71.6,87.4
8/20/1998,0,47,60.6,74.2
8/21/1998,0,49.6,64,78.3
8/22/1998,0,54.7,68.9,83.1
8/23/1998,0,60.2,72.6,85
8/24/1998,0.65,69.7,75.9,82.1
8/25/1998,0,69.3,79.6,89.9
8/26/1998,0.38,69,79.2,89.4
8/27/1998,0.12,64.7,72.9,81.2
8/28/1998,0,63.6,74.9,86.3
8/29/1998,0.23,64.7,74.7,84.6
8/30/1998,0.01,64.6,70.3,76
8/31/1998,0.01,62.2,74.3,86.4
9/1/1998,0.09,51.6,65,78.3
9/2/1998,0,52.4,66.1,79.9
9/3/1998,0,54.5,66.3,78.1
9/4/1998,0,56,69,82
9/5/1998,0,53.1,67.7,82.3
9/6/1998,0,53.2,65.4,77.7
9/7/1998,0.06,61.1,74.8,88.5
9/8/1998,0.45,61,68.7,76.5
9/9/1998,0,46.8,60.2,73.6
9/10/1998,0.03,47.7,57.6,67.5
9/11/1998,0,46.7,59.6,72.5
9/12/1998,0,49.9,64,78
9/13/1998,0,56.7,69.8,82.9
9/14/1998,0,56.6,65.9,75.2
9/15/1998,0,59.5,65.2,70.9
9/16/1998,0.15,65.3,73.9,82.4
9/17/1998,0,43.9,62.2,80.5
9/18/1998,0,45.5,62.6,79.7
9/19/1998,0,47.4,59.6,71.8
9/20/1998,0,50.5,64.8,79.2
9/21/1998,0,58.4,72.1,85.7
9/22/1998,0.34,66,73.7,81.4
9/23/1998,0.83,48,60.4,72.8
9/24/1998,0,33.8,48.9,64.1
9/25/1998,0,35.5,51.3,67.1
9/26/1998,0,45.7,58.6,71.6
9/27/1998,0.03,57.5,68.3,79.1
9/28/1998,0,62.3,74.3,86.2
9/29/1998,0,39.5,57.5,75.4
9/30/1998,0,40.7,56.2,71.7
10/1/1998,0.33,50,62.7,75.4
10/2/1998,0,37.9,55.6,73.4
10/3/1998,0,37.5,50.1,62.8
10/4/1998,0,33.9,49,64.1
10/5/1998,0,31.9,49,66.2
10/6/1998,0,31.5,50.3,69
10/7/1998,0,29,44.3,59.6
10/8/1998,0,32.8,48.5,64.2
10/9/1998,2.62,55.1,62,68.8
10/10/1998,0.36,53,55.1,57.2
10/11/1998,1.61,54.8,59.4,63.9
10/12/1998,0.12,53.4,59.2,65
10/13/1998,0,48.3,53,57.7
10/14/1998,0,49.1,52.9,56.7
10/15/1998,0.38,43.7,50.2,56.7
10/16/1998,0,41.3,50.1,59
10/17/1998,0,32.8,48.5,64.2
10/18/1998,0,36.1,50.9,65.7
10/19/1998,0,53.9,65.8,77.6
10/20/1998,0,38.5,54.1,69.6
10/21/1998,0,35.6,50.9,66.3
10/22/1998,0,31.6,45,58.4
10/23/1998,0,30.6,43.5,56.4
10/24/1998,0,33.1,47.3,61.5
10/25/1998,0,39.3,56.8,74.3
10/26/1998,0,43.1,59,74.9
10/27/1998,0,27.4,43.3,59.1
10/28/1998,0,30.1,43.3,56.6
10/29/1998,0.15,36.9,51.1,65.2
10/30/1998,0,40.3,47.9,55.5
10/31/1998,0,42.4,49.5,56.6
11/1/1998,0,32.8,46.5,60.2
11/2/1998,0,32.6,44,55.3
11/3/1998,0,31,44.4,57.8
11/4/1998,0,21.9,36.2,50.6
11/5/1998,0,22.9,34.7,46.4
11/6/1998,0,22.6,38,53.5
11/7/1998,0,25.5,37.1,48.7
11/8/1998,0,26.5,38.3,50.2
11/9/1998,0,20.9,35.4,49.9
11/10/1998,0,20.3,34,47.8
11/11/1998,0.41,23.6,43.5,63.5
11/12/1998,0.42,31.2,47.4,63.6
11/13/1998,0,34,44,54.1
11/14/1998,0,24.7,39,53.3
11/15/1998,0.01,27.2,39.2,51.3
11/16/1998,0,33,46.1,59.2
11/17/1998,0.05,37.4,44.8,52.1
11/18/1998,0.31,35.8,41,46.3
11/19/1998,0,21,34.9,48.9
11/20/1998,0.03,23.4,35.9,48.4
11/21/1998,0.32,36.1,46.8,57.5
11/22/1998,0,30.1,40.5,50.8
11/23/1998,0,32,40.9,49.8
11/24/1998,0,41.1,51.1,61.1
11/25/1998,0,28.8,42.5,56.2
11/26/1998,0,29.5,39.2,48.9
11/27/1998,0.76,37.5,45.5,53.6
11/28/1998,0,31,39.7,48.4
11/29/1998,0,28,40.8,53.6
11/30/1998,0,32.7,41.2,49.7
12/1/1998,0,44.4,50.2,56
12/2/1998,0.01,34.9,45.8,56.8
12/3/1998,0,37.8,50.7,63.6
12/4/1998,0,40.5,50.5,60.5
12/5/1998,0,29.2,49.4,69.7
12/6/1998,0,31.2,43,54.7
12/7/1998,0,46.6,54.9,63.2
12/8/1998,0,33,54.4,75.7
12/9/1998,0.41,29.3,36.2,43.1
12/10/1998,0,21.8,34.5,47.3
12/11/1998,0,22.4,35.8,49.2
12/12/1998,0,19.6,32.6,45.7
12/13/1998,0,21.5,32.8,44.1
12/14/1998,0,27.3,36.7,46
12/15/1998,0,19.5,31.3,43.1
12/16/1998,0,26.5,39.1,51.7
12/17/1998,0,25.7,37,48.3
12/18/1998,0.28,27.8,36.2,44.5
12/19/1998,0,20.7,29.4,38.1
12/20/1998,0,29.2,38.4,47.6
12/21/1998,0,36.4,42.8,49.2
12/22/1998,0.04,35.7,46.9,58.1
12/23/1998,0.07,14.8,36.9,58.9
12/24/1998,0.19,15.8,22,28.2
12/25/1998,0,7.7,19.3,31
12/26/1998,0,7.4,21.5,35.7
12/27/1998,0,11.9,23,34.1
12/28/1998,0,15.5,27.4,39.3
12/29/1998,0.02,31.2,37.2,43.3
12/30/1998,0.79,31.7,37.2,42.6
12/31/1998,0,7.4,24.8,42.1
1/1/1999,0,9.8,16.3,22.8
1/2/1999,0,-1.8,12.3,26.3
1/3/1999,0,-1.4,11.9,25.2
1/4/1999,1.84,23.6,35.4,47.2
1/5/1999,0,15.2,23.6,32
1/6/1999,0,5.9,16.7,27.6
1/7/1999,0.23,6.8,19.4,32.1
1/8/1999,0,5,18.1,31.2
1/9/1999,0.4,5.4,25.4,45.5
1/10/1999,0.39,21.1,38.9,56.6
1/11/1999,0,11.5,19.4,27.3
1/12/1999,0.09,12.4,23.1,33.9
1/13/1999,0,24.4,34.8,45.1
1/14/1999,0.1,6.1,25.8,45.5
1/15/1999,0.98,5.6,17.2,28.7
1/16/1999,1.3,19.5,34.4,49.4
1/17/1999,0,21.6,30.2,38.8
1/18/1999,0,24,36.1,48.3
1/19/1999,0.58,25,40.1,55.3
1/20/1999,0,29.3,38.5,47.7
1/21/1999,0,19.2,30.4,41.5
1/22/1999,0.01,21.7,32.7,43.7
1/23/1999,0.06,32.3,37.6,42.9
1/24/1999,0.06,34.3,47.3,60.3
1/25/1999,0.92,32.4,46.7,60.9
1/26/1999,0,23.7,31.4,39
1/27/1999,0,21.6,30.6,39.7
1/28/1999,0.05,25.5,33,40.5
1/29/1999,0.27,17,24.4,31.8
1/30/1999,0.01,5.5,15.6,25.7
1/31/1999,0,1.8,14.2,26.7
2/1/1999,0,2.6,17.5,32.4
2/2/1999,0,13.9,33.2,52.5
2/3/1999,1.94,32.6,41.7,50.8
2/4/1999,0,25.2,39.4,53.6
2/5/1999,0.19,27.6,37.2,46.8
2/6/1999,0,20.5,33.9,47.3
2/7/1999,0.03,22.5,29.6,36.8
2/8/1999,0,23.9,32.1,40.4
2/9/1999,0,16.2,29.1,42.1
2/10/1999,0,19.2,31.8,44.4
2/11/1999,0,25.1,36.9,48.6
2/12/1999,0,30.2,42,53.8
2/13/1999,0,31.1,45.4,59.8
2/14/1999,0,22.1,33.2,44.4
2/15/1999,0,12.5,23.9,35.2
2/16/1999,0,13.7,28.7,43.6
2/17/1999,0,21.2,36.9,52.5
2/18/1999,0.14,31,38.7,46.4
2/19/1999,0.88,32.9,36.3,39.8
2/20/1999,0,29.8,36.7,43.6
2/21/1999,0,22.4,32.6,42.8
2/22/1999,0,11.9,26.3,40.7
2/23/1999,0,6.7,16.9,27.2
2/24/1999,0,10.2,20.9,31.7
2/25/1999,0.15,17.4,27.7,37.9
2/26/1999,0.43,24.9,27.4,29.9
2/27/1999,0,27.5,36.9,46.2
2/28/1999,0,24.1,37.2,50.2
3/1/1999,1.4,30.4,41.3,52.3
3/2/1999,0.04,24.1,36.8,49.5
3/3/1999,0,27.1,35.8,44.5
3/4/1999,0.78,26.6,42.4,58.1
3/5/1999,0,25.2,36.6,48
3/6/1999,0,23.4,33.6,43.8
3/7/1999,0.64,21.5,31,40.4
3/8/1999,0,11.1,21.6,32.1
3/9/1999,0,11.6,23.1,34.6
3/10/1999,0,15.2,29,42.9
3/11/1999,0,23.9,32.7,41.5
3/12/1999,0.09,24.8,31.7,38.6
3/13/1999,0.15,26.4,32.3,38.1
3/14/1999,0,28.9,39.6,50.3
3/15/1999,0.68,30.8,37.9,45
3/16/1999,0.2,28.2,31.9,35.6
3/17/1999,0,29.6,39.4,49.2
3/18/1999,0,36.5,49,61.5
3/19/1999,0,36.9,53.4,69.8
3/20/1999,0,27.3,37.8,48.3
3/21/1999,0,21.9,36,50.1
3/22/1999,0.64,27.4,39.6,51.8
3/23/1999,0.16,32.6,43.5,54.5
3/24/1999,0.02,27,40.6,54.1
3/25/1999,0,32,42.7,53.3
3/26/1999,0.11,24.5,38.9,53.4
3/27/1999,0,24.7,39.3,54
3/28/1999,0.39,32.1,40.7,49.4
3/29/1999,0.17,37,42.4,47.9
3/30/1999,0,42.3,54.6,67
3/31/1999,0,33,46.3,59.5
4/1/1999,0,36.6,55.1,73.7
4/2/1999,0,38.2,54.9,71.5
4/3/1999,0,40.6,47.7,54.9
4/4/1999,0.04,43.3,49.6,55.8
4/5/1999,0,29.9,41.8,53.7
4/6/1999,0,28.1,44.9,61.7
4/7/1999,0,32.9,48.8,64.7
4/8/1999,0,35.8,52.2,68.6
4/9/1999,0,36.7,57.2,77.7
4/10/1999,0.03,36.9,46.7,56.4
4/11/1999,0.01,25.6,41,56.5
4/12/1999,0.05,29.1,42.6,56.2
4/13/1999,0,36.2,47.7,59.3
4/14/1999,0,31.8,43.6,55.4
4/15/1999,0,31.8,45.2,58.6
4/16/1999,0.06,33.5,49.9,66.2
4/17/1999,0.28,35.7,44.1,52.4
4/18/1999,0.02,38.4,48,57.6
4/19/1999,0,37.6,51.4,65.2
4/20/1999,0.03,37.6,50.8,64.1
4/21/1999,0.03,32.9,46.4,59.9
4/22/1999,0.01,35.9,51.1,66.4
4/23/1999,0.78,44.7,52.2,59.7
4/24/1999,0.32,33.2,42.9,52.6
4/25/1999,0,34.1,46.8,59.5
4/26/1999,0,39.5,51,62.6
4/27/1999,0,40.7,54.7,68.7
4/28/1999,0,34,46.8,59.7
4/29/1999,0,34.9,49.7,64.6
4/30/1999,0,36.6,48.9,61.3
5/1/1999,0,30.4,46.8,63.2
5/2/1999,0,34.3,52.7,71.1
5/3/1999,0,40.3,55.3,70.3
5/4/1999,0.25,49.4,54.8,60.3
5/5/1999,0.26,51.1,52.4,53.6
5/6/1999,0.04,48.7,55.3,61.9
5/7/1999,0.02,53.8,62.5,71.1
5/8/1999,0,54.6,62,69.4
5/9/1999,0.23,56.2,61.7,67.2
5/10/1999,0,47.9,61.9,75.8
5/11/1999,0,36.8,53.4,70
5/12/1999,0,36.4,54.3,72.2
5/13/1999,0,35.2,53.7,72.3
5/14/1999,0,32.3,49.3,66.3
5/15/1999,0,36.8,54.9,73
5/16/1999,0,35.3,54.1,73
5/17/1999,0,38.3,55.7,73.1
5/18/1999,0,44.5,59.1,73.7
5/19/1999,0.06,55.1,64.3,73.4
5/20/1999,1.52,57.5,64.3,71.1
5/21/1999,0,42.6,56.1,69.6
5/22/1999,0,44.8,61.1,77.4
5/23/1999,0,50.1,65.1,80.1
5/24/1999,0.78,53.3,61.1,68.9
5/25/1999,0.92,53.4,59.6,65.8
5/26/1999,0,47.2,57.5,67.7
5/27/1999,0,51.5,59.2,66.9
5/28/1999,0,46.3,58.5,70.6
5/29/1999,0,53.3,64,74.6
5/30/1999,0,52,69,86.1
5/31/1999,0,54.7,71.1,87.5
6/1/1999,0,53.7,72.2,90.7
6/2/1999,0,61.6,74.1,86.6
6/3/1999,0,65.6,75.2,84.8
6/4/1999,0,57,70.5,84
6/5/1999,0,47.4,62.7,77.9
6/6/1999,0,49.4,63.7,77.9
6/7/1999,0,57.9,69.5,81
6/8/1999,0,66,81.3,96.7
6/9/1999,0,60.3,75.2,90.1
6/10/1999,0,52.8,57.4,62
6/11/1999,0,45.8,58.1,70.5
6/12/1999,0,45.4,62.3,79.2
6/13/1999,0,54,68.2,82.3
6/14/1999,0.01,65.8,74.1,82.4
6/15/1999,0.21,65.4,72.8,80.1
6/16/1999,0,50.2,65.5,80.8
6/17/1999,0,54,62.7,71.4
6/18/1999,0.04,50.3,57.5,64.6
6/19/1999,0,43.3,57.9,72.5
6/20/1999,0,51.6,65.6,79.7
6/21/1999,0,49,63.8,78.6
6/22/1999,0,52.7,63,73.2
6/23/1999,0,54.1,70.4,86.7
6/24/1999,0.08,60.4,75.5,90.6
6/25/1999,0,58.2,73.9,89.6
6/26/1999,0,62.8,72.8,82.8
6/27/1999,0,60.4,76.5,92.6
6/28/1999,0,65.7,80.6,95.5
6/29/1999,0,73.5,83,92.4
6/30/1999,0,63.1,76.3,89.5
7/1/1999,0.41,63.9,72.3,80.7
7/2/1999,0.35,65.3,70.7,76.2
7/3/1999,0.1,64,73.3,82.6
7/4/1999,0.04,67.1,78.3,89.5
7/5/1999,0.23,73.4,81.5,89.5
7/6/1999,0,74.7,85.7,96.7
7/7/1999,0.2,68,81.9,95.8
7/8/1999,0,57.4,72,86.5
7/9/1999,0,57.1,68.1,79.1
7/10/1999,0.01,62.3,68.3,74.3
7/11/1999,0,52.3,68.1,83.9
7/12/1999,0,48.7,64.2,79.7
7/13/1999,0.07,53.6,68.4,83.2
7/14/1999,0,48.4,60.6,72.9
7/15/1999,0,53.8,68.1,82.4
7/16/1999,0,60.4,75.1,89.9
7/17/1999,0,67.5,81.9,96.2
7/18/1999,0,71.8,84.7,97.6
7/19/1999,0,68.1,82.8,97.5
7/20/1999,1.3,60.1,75.7,91.3
7/21/1999,0,50.7,67.4,84.1
7/22/1999,0,56.8,70.2,83.6
7/23/1999,0,68.3,77.8,87.4
7/24/1999,0,67.8,80.8,93.9
7/25/1999,0.04,70,79.2,88.4
7/26/1999,0.06,63.6,77.2,90.9
7/27/1999,0,65,73.2,81.3
7/28/1999,0,63.3,77.4,91.6
7/29/1999,0,60.6,76.4,92.2
7/30/1999,0,63.7,79.1,94.4
7/31/1999,0,68.7,80.6,92.5
8/1/1999,0,72.8,82.3,91.8
8/2/1999,0,63.6,79.5,95.4
8/3/1999,0,57.3,73.7,90
8/4/1999,0,57.8,71.9,86.1
8/5/1999,0,56.8,72,87.3
8/6/1999,0.31,57.4,71.2,85
8/7/1999,0.1,56.1,71.2,86.2
8/8/1999,0,58.7,70.6,82.5
8/9/1999,0.05,58.7,69.7,80.7
8/10/1999,0.01,46.4,62.3,78.2
8/11/1999,0.01,51.6,64.8,78
8/12/1999,0.04,62,68.3,74.5
8/13/1999,0,65.4,77.2,89
8/14/1999,0.14,70,80,90
8/15/1999,0.5,63.5,72.1,80.7
8/16/1999,0.02,54,59.5,65.1
8/17/1999,0,58.6,71.4,84.1
8/18/1999,0,68.7,79.8,90.9
8/19/1999,0,57,72.2,87.3
8/20/1999,0,48.8,65.3,81.8
8/21/1999,0.09,53.2,67,80.7
8/22/1999,0.2,56.4,60.2,64
8/23/1999,0,54.6,61.1,67.6
8/24/1999,0,55.9,69.9,84
8/25/1999,0,56,72.5,88.9
8/26/1999,0,57.5,73.1,88.8
8/27/1999,0.46,63.5,70.1,76.8
8/28/1999,0.02,68.5,73.5,78.4
8/29/1999,0,66.1,76.3,86.6
8/30/1999,0,49.6,68.1,86.6
8/31/1999,0,48.9,61.8,74.8
9/1/1999,0,45.1,60.9,76.7
9/2/1999,0,47.6,67.5,87.4
9/3/1999,0,54.5,72.2,89.8
9/4/1999,0,60.3,77.3,94.3
